,0
packing_density,47.13507184402271
isoelectric_point,7.315390693653094
aggrescan3d_max_value,3.2306307448904388
rosetta_fa_sol,2.979480608509958
rosetta_fa_dun,2.2675555846265185
evoef2_intraR_total,2.2660808605644007
budeff_steric,0.6219830834191032
rosetta_fa_intra_sol_xover4,0.15828120220005243
rosetta_fa_intra_rep,0.008209967238073854
evoef2_interD_total,0.0
rosetta_yhh_planarity,0.0
rosetta_dslf_fa13,-0.001883354808502166
rosetta_hbond_sc,-0.03924115816762665
hydrophobic_fitness,-0.045255515486081255
rosetta_hbond_bb_sc,-0.06272930279795294
rosetta_lk_ball_wtd,-0.10622017565039969
rosetta_hbond_lr_bb,-0.11040001610414739
rosetta_hbond_sr_bb,-0.35055873629583006
aggrescan3d_avg_value,-0.6243252117172663
rosetta_fa_elec,-1.1286075532038564
aggrescan3d_min_value,-4.201492522217024
rosetta_fa_atr,-4.421655200670375
budeff_charge,-5.450637369158704
budeff_desolvation,-7.312902733423276
budeff_total,-12.141557019162876
