,0
packing_density,8.643124699522462
budeff_total,2.968912819775189
isoelectric_point,2.006272314612845
budeff_desolvation,1.921434449873397
budeff_charge,1.3345485950821903
aggrescan3d_max_value,1.2551351834652793
rosetta_fa_atr,1.1545164963545627
aggrescan3d_min_value,0.8503723797767223
rosetta_fa_dun,0.6859274082748161
rosetta_fa_sol,0.629430298869933
aggrescan3d_avg_value,0.5483756894757789
rosetta_fa_elec,0.41329214414262927
evoef2_intraR_total,0.39983824746409874
budeff_steric,0.21164737377795562
rosetta_hbond_sr_bb,0.17679070603205532
rosetta_hbond_lr_bb,0.10576688274152499
hydrophobic_fitness,0.046064610870776186
rosetta_hbond_bb_sc,0.04456604702629348
rosetta_hbond_sc,0.025958752463093458
rosetta_lk_ball_wtd,0.02586910389100779
rosetta_fa_intra_sol_xover4,0.022354600713302534
rosetta_dslf_fa13,0.007304953690664569
rosetta_fa_intra_rep,0.0010040315337598326
evoef2_interD_total,0.0
rosetta_yhh_planarity,0.0
