,num_missing,prop_missing
design_name,0,0.0
file_name,0,0.0
full_sequence,0,0.0
dssp_assignment,0,0.0
composition_ALA,0,0.0
composition_CYS,0,0.0
composition_ASP,0,0.0
composition_GLU,0,0.0
composition_PHE,0,0.0
composition_GLY,0,0.0
composition_HIS,0,0.0
composition_ILE,0,0.0
composition_LYS,0,0.0
composition_LEU,0,0.0
composition_MET,0,0.0
composition_ASN,0,0.0
composition_PRO,0,0.0
composition_GLN,0,0.0
composition_ARG,0,0.0
composition_SER,0,0.0
composition_THR,0,0.0
composition_VAL,0,0.0
composition_TRP,0,0.0
composition_UNK,0,0.0
composition_TYR,0,0.0
ss_prop_alpha_helix,0,0.0
ss_prop_beta_bridge,0,0.0
ss_prop_beta_strand,0,0.0
ss_prop_3_10_helix,0,0.0
ss_prop_pi_helix,0,0.0
ss_prop_hbonded_turn,0,0.0
ss_prop_bend,0,0.0
ss_prop_loop,0,0.0
hydrophobic_fitness,14,2.4803081251350882e-05
isoelectric_point,0,0.0
charge,0,0.0
mass,0,0.0
num_residues,0,0.0
packing_density,0,0.0
budeff_total,0,0.0
budeff_steric,0,0.0
budeff_desolvation,0,0.0
budeff_charge,0,0.0
evoef2_total,0,0.0
evoef2_ref_total,0,0.0
evoef2_intraR_total,0,0.0
evoef2_interS_total,0,0.0
evoef2_interD_total,0,0.0
dfire2_total,103841,0.18396976858725192
rosetta_total,0,0.0
rosetta_fa_atr,0,0.0
rosetta_fa_rep,0,0.0
rosetta_fa_intra_rep,0,0.0
rosetta_fa_elec,0,0.0
rosetta_fa_sol,0,0.0
rosetta_lk_ball_wtd,0,0.0
rosetta_fa_intra_sol_xover4,0,0.0
rosetta_hbond_lr_bb,0,0.0
rosetta_hbond_sr_bb,0,0.0
rosetta_hbond_bb_sc,0,0.0
rosetta_hbond_sc,0,0.0
rosetta_dslf_fa13,0,0.0
rosetta_rama_prepro,0,0.0
rosetta_p_aa_pp,0,0.0
rosetta_fa_dun,0,0.0
rosetta_omega,0,0.0
rosetta_pro_close,0,0.0
rosetta_yhh_planarity,0,0.0
aggrescan3d_total_value,0,0.0
aggrescan3d_avg_value,0,0.0
aggrescan3d_min_value,0,0.0
aggrescan3d_max_value,0,0.0
