features,prop_max_value_count
evoef2_interD_total,1.0
rosetta_yhh_planarity,1.0
rosetta_fa_intra_rep,0.9974965983501999
rosetta_dslf_fa13,0.8869801853899141
rosetta_fa_intra_sol_xover4,0.18355621226294752
hydrophobic_fitness,0.17700449301244436
rosetta_lk_ball_wtd,0.1672601836890892
rosetta_hbond_lr_bb,0.16698025625761828
rosetta_hbond_sc,0.14165745386512457
rosetta_hbond_bb_sc,0.08365046630949344
rosetta_hbond_sr_bb,0.025641707061258043
budeff_steric,0.023505045780536894
isoelectric_point,0.02133649403293931
evoef2_intraR_total,0.013321356691328628
rosetta_fa_elec,0.013239858831533294
aggrescan3d_avg_value,0.01275087167276129
rosetta_fa_dun,0.00851121127079967
rosetta_fa_sol,0.00802576749723616
aggrescan3d_min_value,0.0058625308274513135
rosetta_fa_atr,0.004161705927374777
aggrescan3d_max_value,0.0036390566091220908
budeff_charge,0.003215622076707203
budeff_desolvation,0.0026539955211610966
budeff_total,0.0016831079740340731
packing_density,0.0006537545709669189
