,0
evoef2_intraR_total,4.049380159721155e-15
budeff_desolvation,3.1844482292029435e-15
rosetta_fa_sol,1.946897627357514e-15
budeff_total,1.9182119872262602e-15
packing_density,1.8541492919033144e-15
rosetta_lk_ball_wtd,1.381397015942976e-15
aggrescan3d_max_value,6.989487185857784e-16
aggrescan3d_avg_value,3.7757069866597937e-16
rosetta_hbond_bb_sc,3.5753447288841706e-16
aggrescan3d_min_value,2.520686468790095e-16
rosetta_hbond_sr_bb,1.9197897924819885e-16
budeff_charge,9.55617713318839e-17
rosetta_hbond_lr_bb,4.5718333012369366e-17
hydrophobic_fitness,-9.636968366162433e-17
rosetta_fa_intra_sol_xover4,-4.481727314343535e-16
isoelectric_point,-5.41766998622046e-16
rosetta_hbond_sc,-5.526120335424438e-16
budeff_steric,-9.481088810777224e-16
rosetta_fa_elec,-1.511955648429027e-15
rosetta_fa_dun,-1.6260898984940024e-15
rosetta_fa_atr,-3.201100728046534e-15
