organism_scientific_name,count
Glycine max,55799
Oryza sativa,43649
Zea mays,39299
Arabidopsis thaliana,27434
Danio rerio,24664
Mus musculus,21615
Rattus norvegicus,21270
Homo sapiens,20504
Caenorhabditis elegans,19694
Trypanosoma cruzi,19036
Schistosoma mansoni,13865
Drosophila melanogaster,13458
Wuchereria bancrofti,12721
Dictyostelium discoideum,12622
Strongyloides stercoralis,12613
Fonsecaea pedrosoi,12509
Onchocerca volvulus,12047
Cladophialophora carrionii,11170
Dracunculus medinensis,10834
Trichuris trichiura,9564
Madurella mycetomatis,9561
Ajellomyces capsulatus,9199
Mycobacterium ulcerans,9033
Paracoccidioides lutzii,8794
Brugia malayi,8743
Sporothrix schenckii,8652
Trypanosoma brucei,8491
Nocardia brasiliensis,8372
Leishmania infantum,7924
Saccharomyces cerevisiae,6039
Candida albicans,5974
Klebsiella pneumoniae,5727
Pseudomonas aeruginosa,5556
Plasmodium falciparum,5187
Schizosaccharomyces pombe,5128
Salmonella typhimurium,4526
Escherichia coli,4363
Mycobacterium tuberculosis,3988
Shigella dysenteriae,3893
Staphylococcus aureus,2888
Enterococcus faecium,2823
Neisseria gonorrhoeae,2106
Streptococcus pneumoniae,2030
Methanocaldococcus jannaschii,1773
Haemophilus influenzae,1662
Campylobacter jejuni,1620
Mycobacterium leprae,1602
Helicobacter pylori,1538
