organism_scientific_name,count
Homo sapiens,6141
Mus musculus,5718
Rattus norvegicus,3632
Arabidopsis thaliana,2230
Schizosaccharomyces pombe,1833
Danio rerio,1763
Saccharomyces cerevisiae,1711
Glycine max,1393
Drosophila melanogaster,1120
Caenorhabditis elegans,1107
Oryza sativa,864
Zea mays,806
Dictyostelium discoideum,798
Escherichia coli,689
Schistosoma mansoni,602
Salmonella typhimurium,552
Candida albicans,504
Klebsiella pneumoniae,463
Shigella dysenteriae,450
Pseudomonas aeruginosa,441
Trypanosoma cruzi,403
Trichuris trichiura,368
Dracunculus medinensis,349
Haemophilus influenzae,348
Mycobacterium tuberculosis,339
Brugia malayi,338
Nocardia brasiliensis,326
Staphylococcus aureus,325
Wuchereria bancrofti,316
Strongyloides stercoralis,311
Fonsecaea pedrosoi,294
Cladophialophora carrionii,291
Paracoccidioides lutzii,290
Sporothrix schenckii,289
Ajellomyces capsulatus,288
Madurella mycetomatis,279
Enterococcus faecium,256
Streptococcus pneumoniae,255
Neisseria gonorrhoeae,253
Trypanosoma brucei,249
Mycobacterium leprae,235
Leishmania infantum,230
Campylobacter jejuni,215
Plasmodium falciparum,213
Helicobacter pylori,211
Methanocaldococcus jannaschii,177
Onchocerca volvulus,69
