organism_scientific_name,count
Glycine max,1652
Wuchereria bancrofti,154
Strongyloides stercoralis,151
Caenorhabditis elegans,148
Onchocerca volvulus,144
Dracunculus medinensis,121
Zea mays,90
Schistosoma mansoni,43
Ajellomyces capsulatus,40
Danio rerio,40
Paracoccidioides lutzii,28
Trypanosoma cruzi,26
Brugia malayi,25
Leishmania infantum,24
Cladophialophora carrionii,23
Candida albicans,9
Sporothrix schenckii,8
Trypanosoma brucei,7
Rattus norvegicus,5
Dictyostelium discoideum,4
Drosophila melanogaster,3
Pseudomonas aeruginosa,2
Madurella mycetomatis,2
Nocardia brasiliensis,2
Homo sapiens,1
Streptococcus pneumoniae,1
Trichuris trichiura,1
Plasmodium falciparum,1
Mycobacterium leprae,1
