organism_scientific_name,count
Trypanosoma cruzi,2
Glycine max,2
Ajellomyces capsulatus,1
Salmonella typhimurium,1
Nocardia brasiliensis,1
Onchocerca volvulus,1
Oryza sativa,1
Paracoccidioides lutzii,1
Plasmodium falciparum,1
Pseudomonas aeruginosa,1
Rattus norvegicus,1
Saccharomyces cerevisiae,1
Schistosoma mansoni,1
Mycobacterium ulcerans,1
Schizosaccharomyces pombe,1
Shigella dysenteriae,1
Sporothrix schenckii,1
Staphylococcus aureus,1
Streptococcus pneumoniae,1
Strongyloides stercoralis,1
Trichuris trichiura,1
Trypanosoma brucei,1
Wuchereria bancrofti,1
Neisseria gonorrhoeae,1
Mycobacterium tuberculosis,1
Arabidopsis thaliana,1
Mycobacterium leprae,1
Brugia malayi,1
Caenorhabditis elegans,1
Campylobacter jejuni,1
Candida albicans,1
Cladophialophora carrionii,1
Danio rerio,1
Dictyostelium discoideum,1
Dracunculus medinensis,1
Drosophila melanogaster,1
Enterococcus faecium,1
Escherichia coli,1
Fonsecaea pedrosoi,1
Haemophilus influenzae,1
Helicobacter pylori,1
Homo sapiens,1
Klebsiella pneumoniae,1
Leishmania infantum,1
Madurella mycetomatis,1
Mus musculus,1
Zea mays,1
