subcellular_location,count
Membrane,30240
Nucleus,28851
Cytoplasm,14118
Cell membrane,7672
Secreted,6099
Cell membrane:Membrane,5767
Cytoplasm:Nucleus,4750
Mitochondrion,3420
Endoplasmic reticulum membrane,2566
Mitochondrion inner membrane,2435
Cell inner membrane,2378
Endoplasmic reticulum membrane:Membrane,2282
"Nucleus, nucleolus",2270
"Cytoplasm, cytoskeleton",1572
Nucleus:Cytoplasm,1377
"Plastid, chloroplast",1369
Golgi apparatus membrane,1262
"Cytoplasm, cytosol",1081
Golgi apparatus membrane:Membrane,1038
Membrane:Mitochondrion inner membrane,1003
Mitochondrion matrix,931
Nucleus:Chromosome,917
Cell inner membrane:Membrane,745
"Secreted, cell wall",645
Periplasm,616
"Secreted, extracellular space, apoplast",567
"Secreted, extracellular space, extracellular matrix",557
"Plastid, chloroplast thylakoid membrane",487
Chromosome:Nucleus,466
Peroxisome,458
Vacuole membrane,415
Endoplasmic reticulum lumen,371
Mitochondrion outer membrane,340
Cytoplasm:Membrane,330
Mitochondrion membrane,297
"Cytoplasm:Nucleus, nucleolus",292
"Secreted, extracellular space",284
Cell outer membrane,272
"Secreted, cell wall:Membrane",270
Endoplasmic reticulum membrane:Microsome membrane,269
"Plastid, chloroplast stroma",264
Membrane:Mitochondrion outer membrane,262
"Cytoplasm, cytosol:Nucleus",236
Membrane:Vacuole membrane,233
Cytoplasm:Cell membrane,231
"Golgi apparatus, Golgi stack membrane",229
Golgi apparatus,214
Cell membrane:Cytoplasm:Membrane,214
Peroxisome membrane,211
Endoplasmic reticulum,210
"Nucleus, nuclear pore complex",207
Secreted:Cell membrane,204
Lysosome,195
Cell outer membrane:Membrane,187
Endoplasmic reticulum membrane:Golgi apparatus membrane,171
Chromosome,167
"Nucleus, nucleoplasm",161
Cell membrane:Secreted,159
"Plastid, chloroplast membrane",158
"Secreted, cell wall:Secreted, extracellular space, apoplast",153
Mitochondrion intermembrane space,147
"Nucleus, nucleolus:Nucleus, nucleoplasm",142
Lysosome membrane,140
"Cell projection, cilium",136
Cytoplasm:Endoplasmic reticulum,132
Apical cell membrane,132
"Cytoplasm, P-body",129
"Nucleus:Nucleus, nucleolus",129
"Cytoplasm, cytoskeleton, cilium axoneme",126
Nucleus speckle,125
Mitochondrion:Mitochondrion inner membrane,121
Cell membrane:Cytoplasm,120
Vacuole,119
"Nucleus:Chromosome, telomere",119
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",115
Cytoplasm:Mitochondrion,113
Endoplasmic reticulum membrane:Golgi apparatus membrane:Membrane,110
"Nucleus:Cytoplasm, cytosol",110
Endosome,107
Cell membrane:Endoplasmic reticulum membrane,105
"Cytoplasm, cytosol:Membrane",105
"Nucleus:Chromosome, centromere, kinetochore",105
Endosome membrane,105
"Cell junction, gap junction:Cell membrane:Membrane",102
Postsynaptic cell membrane:Cell membrane,102
Cell membrane:Membrane:Postsynaptic cell membrane:Synaptic cell membrane,100
Endosome membrane:Membrane,99
Nucleus:Nucleus speckle,96
"Cytoplasm:Cytoplasm, cytoskeleton",91
"Cytoplasm, perinuclear region",90
Mitochondrion:Nucleus,84
"Golgi apparatus, Golgi stack membrane:Membrane",83
Membrane:Mitochondrion membrane,82
"Secreted, extracellular space, extracellular matrix, basement membrane",82
Membrane:Peroxisome membrane,82
"Cytoplasm:Golgi apparatus membrane:Cytoplasmic vesicle, COPI-coated vesicle membrane",81
"Cytoplasm, nucleoid",81
"Chromosome, telomere:Nucleus",80
"Cell membrane:Cell junction, gap junction",79
"Membrane:Plastid, chloroplast membrane",79
Peroxisome matrix,78
"Cytoplasm, cytoskeleton, microtubule organizing center",78
"Cytoplasm:Golgi apparatus membrane:Cytoplasmic vesicle, COPI-coated vesicle membrane:Membrane",78
Endosome membrane:Golgi apparatus membrane:Membrane,77
Cell membrane:Basolateral cell membrane,77
"Cytoplasm, cytoskeleton, flagellum axoneme",77
"Cytoplasm, cytoskeleton, cilium basal body",76
Endosome membrane:Lysosome membrane,74
"Golgi apparatus, cis-Golgi network",74
"Cytoplasm, cytoskeleton, spindle",72
Nucleus:Mitochondrion,72
Fimbrium,71
Cell membrane:Apical cell membrane,70
Lipid droplet,70
"Nucleus:Chromosome, centromere",69
Bacterial microcompartment,67
Cell membrane:Postsynaptic cell membrane,67
"Membrane:Plastid, chloroplast thylakoid membrane",66
Nucleus:Nucleus speckle:Cytoplasm,66
"Golgi apparatus, trans-Golgi network",64
Nucleus inner membrane,64
Mitochondrion:Cytoplasm,63
"Plastid, chloroplast thylakoid lumen",62
Cell membrane:Nucleus,62
"Secreted, extracellular space, extracellular matrix:Secreted",62
"Cell projection, cilium, flagellum",61
"Cytoplasmic vesicle membrane:Membrane, coated pit",60
"Cytoplasmic vesicle, COPI-coated vesicle membrane:Golgi apparatus membrane:Membrane",60
"Cytoplasmic vesicle, clathrin-coated vesicle:Golgi apparatus:Membrane, clathrin-coated pit:Vesicle",60
Membrane:Mitochondrion inner membrane:Mitochondrion intermembrane space,59
Cytoplasm:Nucleus:Mitochondrion,59
Lysosome membrane:Membrane,58
Cell membrane:Early endosome:Endosome:Membrane,58
"Chromosome, centromere, kinetochore:Nucleus",58
"Nucleus, nuclear pore complex:Nucleus membrane",57
"Golgi apparatus, trans-Golgi network membrane",57
Cell membrane:Endosome membrane,56
Microsome membrane:Endoplasmic reticulum membrane,56
Cell inner membrane:Cell membrane:Membrane,56
"Plastid, chloroplast inner membrane",56
Nucleus membrane,56
Endoplasmic reticulum membrane:Nucleus membrane,55
Nucleus:Chromosome:Cytoplasm,55
"Cell junction, tight junction",53
"Nucleus, nucleolus:Cytoplasm",52
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole",52
Preautophagosomal structure membrane,52
"Cell junction, tight junction:Cell membrane",52
Basolateral cell membrane,52
"Plastid, chloroplast:Mitochondrion",52
Nucleus:Cytoplasm:Chromosome,52
"Cytoplasm, cytoskeleton, cilium axoneme:Cytoplasm, cytoskeleton, flagellum axoneme",52
"Cytoplasm, cytoskeleton, actin patch",51
Cytoplasm:Endosome,51
Endomembrane system,51
Cell membrane:Golgi apparatus membrane:Membrane,51
Secreted:Cytoplasm,50
"Cell projection, pseudopodium:Cytoplasm, cytoskeleton",50
"Endoplasmic reticulum:Golgi apparatus, cis-Golgi network",50
"Cytoplasmic vesicle, COPII-coated vesicle membrane:Endoplasmic reticulum membrane:Membrane",49
Cytoplasm:Nucleus:Cell membrane,49
"Cytoplasm:Cytoplasm, P-body",49
Membrane:Cytoplasm,48
"Cytoplasmic vesicle, clathrin-coated vesicle:Vesicle",48
Endoplasmic reticulum membrane:Cell membrane,47
"Cell membrane:Membrane, coated pit",47
Endoplasmic reticulum:Membrane,45
Cytoplasmic vesicle membrane,45
Golgi apparatus membrane:Endoplasmic reticulum membrane,44
"Cytoplasm, cytosol:Cell membrane",44
Cytoplasm:Secreted,44
Cell membrane:Synapse,44
"Cell junction, tight junction:Cell membrane:Membrane",43
"Cytoplasm:Nucleus:Nucleus, nucleolus",43
"Cell projection, cilium membrane",42
Membrane:Cell membrane,41
Membrane:Nucleus,41
Mitochondrion matrix:Nucleus:Cytoplasm,40
"Nucleus:Chromosome:Chromosome, centromere",40
"Mitochondrion matrix, mitochondrion nucleoid",40
"Chromosome, centromere, kinetochore",40
Cell membrane:Cytoplasm:Membrane:Membrane,40
"Chromosome, telomere",40
Cell membrane:Membrane:Nucleus,39
Cytoplasm:Cell inner membrane,39
Late endosome membrane:Lysosome membrane,38
Bacterial flagellum basal body,38
"Plastid, chloroplast outer membrane",38
"Plastid, chloroplast envelope",38
Cytoplasmic vesicle,38
"Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body",37
Nucleus:Cytoplasm:Cell membrane,37
Cytoplasm:Mitochondrion intermembrane space,37
Cytoplasm:Golgi apparatus,37
"Cytoplasm, cytosol:Peroxisome matrix",37
"Cell junction, plasmodesma:Cell membrane:Membrane",37
Golgi apparatus membrane:Cell membrane,37
"Membrane:Plastid, chloroplast envelope",36
Synapse,36
"Nucleus, nucleolus:Nucleus, nucleoplasm:Mitochondrion",36
"Cell membrane:Secreted, cell wall",36
Late endosome membrane,35
"Cytoplasm, cytoskeleton, spindle:Nucleus",35
Lipid droplet:Membrane,35
"Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane",35
"Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",34
Nucleus matrix,34
Membrane:Preautophagosomal structure membrane,34
"Membrane:Secreted, extracellular space, extracellular matrix, basement membrane",34
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle pole",34
Cytoplasm:Membrane:Nucleus,33
Mitochondrion inner membrane:Mitochondrion intermembrane space,33
Nucleus envelope,33
"Chromosome, centromere, kinetochore:Cytoplasm, cytoskeleton, spindle:Nucleus",33
"Cell membrane:Cytoplasm, cytosol",33
Membrane:Endoplasmic reticulum,33
"Cytoplasm, cell cortex",33
"Membrane, coated pit",32
"Cytoplasm, myofibril",32
Cytoplasmic vesicle membrane:Membrane,32
Cell membrane:Cytoplasmic vesicle membrane,32
Endoplasmic reticulum membrane:Mitochondrion membrane,32
"Cytoplasmic vesicle, secretory vesicle, acrosome",32
"Cytoplasm, cytoskeleton:Nucleus",31
"Cytoplasm, cytosol:Cytoplasm:Rough endoplasmic reticulum",31
"Cell projection, cilium, flagellum membrane",31
Cell membrane:Membrane raft,31
Endoplasmic reticulum membrane:Membrane:Microsome membrane,31
Cell membrane:Vacuole membrane,30
Cell membrane:Cytoplasm:Membrane:Nucleus,30
"Plastid, chloroplast:Plastid, amyloplast",30
"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Cytoplasm, cytoskeleton, spindle",30
"Nucleus, nucleolus:Chromosome",30
"Nucleus:Nucleus, PML body",30
Cell membrane:Golgi apparatus membrane,30
"Plastid, chloroplast, plastoglobule",29
Cell surface,29
Cytoplasm:Endosome membrane,29
Cytoplasm:Preautophagosomal structure,29
"Nucleus speckle:Nucleus, nucleoplasm",29
Cytoplasm:Nucleus:Secreted,29
Mitochondrion inner membrane:Mitochondrion outer membrane,29
"Vacuole, aleurone grain",28
"Nucleus, nuclear pore complex:Nucleus membrane:Nucleus membrane",28
"Mitochondrion:Plastid, chloroplast",28
"Chromosome, centromere:Nucleus",28
"Nucleus:Nucleus, nucleoplasm",28
"Cytoplasm:Nucleus, nucleolus:Nucleus",28
Nucleus:Endoplasmic reticulum,28
Cytoplasm:Nucleus:Cytoplasm,28
Membrane:Endoplasmic reticulum membrane,27
Early endosome membrane,27
"Cell junction, adherens junction:Cell projection, rhabdomere",27
"Golgi apparatus, cis-Golgi network membrane",27
"Nucleus:Cytoplasm, cytoskeleton, spindle",27
Endoplasmic reticulum membrane:Nucleus,27
Membrane:Secreted,27
"Cytoplasm, cytoskeleton:Cell membrane",26
