uniprot_description,count
Uncharacterized protein,132653
Protein kinase domain-containing protein,2756
Hypothetical_protein_-_conserved,2634
Olfactory receptor,1987
"Unplaced genomic scaffold supercont1.1, whole genome shotgun sequence",1687
"Unplaced genomic scaffold supercont1.2, whole genome shotgun sequence",1614
"Unplaced genomic scaffold supercont1.3, whole genome shotgun sequence",1593
"Unplaced genomic scaffold supercont1.4, whole genome shotgun sequence",1458
"Unplaced genomic scaffold supercont1.5, whole genome shotgun sequence",1297
Expressed protein,1127
RING-type domain-containing protein,1118
G_PROTEIN_RECEP_F1_2 domain-containing protein,1098
F-box domain-containing protein,1059
MFS domain-containing protein,1036
"Unplaced genomic scaffold supercont1.7, whole genome shotgun sequence",1010
"Unplaced genomic scaffold supercont1.6, whole genome shotgun sequence",969
"Mucin-associated surface protein (MASP), putative",932
Non-specific serine/threonine protein kinase,749
"Trans-sialidase, putative",737
"Unplaced genomic scaffold supercont1.8, whole genome shotgun sequence",683
C2H2-type domain-containing protein,682
ATP-dependent DNA helicase,677
RRM domain-containing protein,627
"Mucin TcMUCII, putative",573
WD_REPEATS_REGION domain-containing protein,513
BHLH domain-containing protein,490
Peroxidase,483
Transmembrane protein,476
Ig-like domain-containing protein,474
RNA helicase,454
RING-type E3 ubiquitin transferase,454
Homeobox domain-containing protein,438
J domain-containing protein,437
Hexosyltransferase,434
Glycosyltransferase,434
Serine/threonine-protein phosphatase,399
"Uncharacterized protein, isoform A",396
BTB domain-containing protein,383
"Protein kinase, putative",382
AAA domain-containing protein,381
Peptidyl-prolyl cis-trans isomerase,365
Protein-serine/threonine phosphatase,363
Fe2OG dioxygenase domain-containing protein,348
Zn(2)-C6 fungal-type domain-containing protein,333
Col_cuticle_N domain-containing protein,328
ANK_REP_REGION domain-containing protein,323
Putative cytoplasmic protein,311
"Unplaced genomic scaffold supercont1.9, whole genome shotgun sequence",309
Peptidylprolyl isomerase,308
N-acetyltransferase domain-containing protein,305
AB hydrolase-1 domain-containing protein,301
Ubiquitin carboxyl-terminal hydrolase,293
"Dispersed gene family protein 1 (DGF-1), putative",288
Kinesin-like protein,286
Protein kinase superfamily protein,283
AP2/ERF domain-containing protein,278
Probable transcriptional regulator,277
BZIP domain-containing protein,272
Metalloendopeptidase,265
Alpha/beta-Hydrolases superfamily protein,263
Receptor-like serine/threonine-protein kinase,258
Vomeronasal type-1 receptor,253
SCP domain-containing protein,245
Palmitoyltransferase,245
TPR_REGION domain-containing protein,244
Thioredoxin domain-containing protein,237
"Uncharacterized protein, isoform B",233
Pectinesterase,228
Transposase DDE domain protein,228
DNA helicase,226
"Retrotransposon hot spot (RHS) protein, putative",225
C2 domain-containing protein,225
Aa_trans domain-containing protein,220
Reverse transcriptase domain-containing protein,219
Putative membrane protein,217
"Serpentine Receptor, class H",217
Guanine nucleotide-binding protein subunit beta-like protein,217
EF-hand domain-containing protein,216
Peptidase A1 domain-containing protein,215
Leishmanolysin-like peptidase,213
WAT1-related protein,210
UBC core domain-containing protein,209
Putative inner membrane protein,207
TIR domain-containing protein,204
Methyltransferase,203
Carboxypeptidase,201
LRRNT_2 domain-containing protein,200
C-type lectin domain-containing protein,197
ABC transporter domain-containing protein,195
ULP_PROTEASE domain-containing protein,194
EGF-like domain-containing protein,192
Carboxylic ester hydrolase,192
Pentatricopeptide repeat-containing protein,190
SET domain-containing protein,188
Histidine kinase,187
Seven TM Receptor,186
PH domain-containing protein,185
Protein DETOXIFICATION,185
Conserved protein,184
RING/U-box superfamily protein,182
NAC domain-containing protein,182
ShKT domain-containing protein,179
Major sperm protein,177
ARM repeat superfamily protein,176
DYW_deaminase domain-containing protein,176
SHSP domain-containing protein,174
Rab-GAP TBC domain-containing protein,173
Phospholipid-transporting ATPase,173
O-fucosyltransferase family protein,172
Myb_DNA-bind_3 domain-containing protein,171
Nudix hydrolase domain-containing protein,170
Mutator family transposase,168
ZP domain-containing protein,165
PDZ domain-containing protein,165
Histone H2A,162
TetR family transcriptional regulator,161
HTH myb-type domain-containing protein,161
SSD domain-containing protein,161
Transcriptional regulator,160
Transporter,160
Ubiquitinyl hydrolase 1,160
C3H1-type domain-containing protein,159
t-SNARE coiled-coil homology domain-containing protein,159
Rifin,158
Protein-tyrosine-phosphatase,158
Protein FAR1-RELATED SEQUENCE,157
Tyrosine-protein kinase,156
Ubiquitin-like domain-containing protein,155
Peptidase S1 domain-containing protein,155
Tetraspanin,152
CCHC-type domain-containing protein,152
Proteasome subunit beta,151
"RNA-binding protein, putative",149
